"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP4";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"6";;;
2;"JP7";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"8";;;
3;"JP2";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"4";;;
4;"JP1";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"3";;;
5;"TP-1";"TestPoint_THTPad_D2.5mm_Drill1.2mm";1;"TP-";;;
6;"R5";"R_1206_3216Metric";1;"6.8k";;;
7;"C1";"CP_EIA-3528-12_Kemet-T";1;"100";;;
8;"BT1";"BatteryHolder_Keystone_1060_1x2032";1;"Battery_Cell";;;
9;"H2,H3,H1,H4";"MountingHole_3mm";4;"MountingHole";;;
10;"R2";"R_1206_3216Metric";1;"100";;;
11;"R1";"R_1206_3216Metric";1;"1k";;;
12;"U1";"SOIC-28W_7.5x17.9mm_P1.27mm";1;"SAA3010";;;
13;"R3,R4";"R_1206_3216Metric";2;"1.5";;;
14;"JP5";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"7";;;
15;"TP+1";"TestPoint_THTPad_D2.5mm_Drill1.2mm";1;"TP+";;;
16;"JP3";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"5";;;
17;"JP6";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"16";;;
18;"Q1";"CSBF";1;"429KHz";;;
19;"U2";"SOT-23";1;"BCV27";;;
20;"SW11";"SW_SPST_B3S-1000";1;"SW11";;;
21;"SW10";"SW_SPST_B3S-1000";1;"SW10";;;
22;"SW7";"SW_SPST_B3S-1000";1;"SW7";;;
23;"DIR1";"LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack";1;"IR";;;
24;"SW5";"SW_SPST_B3S-1000";1;"SW5";;;
25;"SW8";"SW_SPST_B3S-1000";1;"SW8";;;
26;"SW2";"SW_SPST_B3S-1000";1;"SW2";;;
27;"SW4";"SW_SPST_B3S-1000";1;"SW4";;;
28;"SW3";"SW_SPST_B3S-1000";1;"SW3";;;
29;"SW12";"SW_SPST_B3S-1000";1;"SW12";;;
30;"SW1";"SW_SPST_B3S-1000";1;"SW1";;;
31;"DSTATUS1";"LED_D3.0mm";1;"STATUS";;;
32;"SW9";"SW_SPST_B3S-1000";1;"SW9";;;
33;"SW6";"SW_SPST_B3S-1000";1;"SW6";;;
